Idade,Genero,Estados,Cargo,Carreira,Faixa salarial,Experiencia,Raça
31,Masculino,Minas Gerais (MG),Cientista de dados,Sênior,14000.0,de 3 a 4 anos,Branca
30,Masculino,Espírito Santo (ES),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Branca
37,Feminino,São Paulo (SP),Analista de Dados,Júnior,7000.0,de 1 a 2 anos,Amarela
22,Masculino,São Paulo (SP),,,,,Preta
34,Masculino,Minas Gerais (MG),Analista de Dados,Júnior,5000.0,Menos de 1 ano,Branca
30,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,10000.0,de 1 a 2 anos,Branca
24,Masculino,São Paulo (SP),Analista de BI,Pleno,5000.0,de 3 a 4 anos,Branca
35,Masculino,São Paulo (SP),,,22500.0,de 7 a 10 anos,Branca
27,Masculino,Rio de Janeiro (RJ),,,,,Parda
28,Masculino,São Paulo (SP),,,,,Parda
25,Masculino,Sergipe (SE),Analista de BI,Júnior,1500.0,de 1 a 2 anos,Preta
46,Feminino,Pernambuco (PE),,,,,Parda
32,Feminino,Rio Grande do Sul (RS),Outra opção,Pleno,3500.0,de 1 a 2 anos,Preta
39,Masculino,São Paulo (SP),,,18000.0,Mais de 10 anos,Branca
36,Masculino,Distrito Federal (DF),,,14000.0,de 7 a 10 anos,Branca
35,Feminino,Minas Gerais (MG),,,10000.0,de 4 a 6 anos,Branca
29,Feminino,Rio de Janeiro (RJ),Analista de Dados,Pleno,5000.0,de 5 a 6 anos,Branca
29,Feminino,Minas Gerais (MG),Analista de BI,Júnior,2500.0,de 1 a 2 anos,Prefiro não informar
27,Masculino,Paraná (PR),Outra opção,Júnior,2500.0,de 3 a 4 anos,Parda
31,Masculino,Rio de Janeiro (RJ),,,10000.0,de 7 a 10 anos,Branca
35,Masculino,Paraíba (PB),Engenheiro de dados,Sênior,14000.0,de 5 a 6 anos,Parda
35,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,14000.0,de 7 a 10 anos,Branca
29,Masculino,Paraná (PR),Cientista de dados,Sênior,40000.0,de 5 a 6 anos,Branca
44,Feminino,Minas Gerais (MG),,,10000.0,de 3 a 4 anos,Branca
25,Feminino,São Paulo (SP),Engenheiro de dados,Júnior,7000.0,de 1 a 2 anos,Branca
36,Masculino,Acre (AC),Analista de Dados,Júnior,1500.0,Menos de 1 ano,Branca
36,Feminino,Minas Gerais (MG),,,14000.0,Mais de 10 anos,Parda
46,Masculino,Santa Catarina (SC),Outra opção,Pleno,10000.0,de 1 a 2 anos,Branca
33,Feminino,São Paulo (SP),Analista de Dados,Pleno,7000.0,de 1 a 2 anos,Parda
30,Masculino,São Paulo (SP),Outra opção,Pleno,10000.0,de 5 a 6 anos,Branca
32,Masculino,São Paulo (SP),Outra opção,Sênior,14000.0,de 7 a 10 anos,Parda
38,Masculino,São Paulo (SP),Cientista de dados,Sênior,18000.0,de 7 a 10 anos,Preta
36,Masculino,São Paulo (SP),,,27500.0,de 7 a 10 anos,Parda
53,Masculino,Rio Grande do Sul (RS),Outra opção,Pleno,3500.0,de 1 a 2 anos,Branca
23,Masculino,São Paulo (SP),Cientista de dados,Pleno,3500.0,de 3 a 4 anos,Amarela
31,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca
33,Feminino,Bahia (BA),Analista de BI,Sênior,5000.0,de 7 a 10 anos,Branca
36,Masculino,Santa Catarina (SC),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Branca
29,Masculino,São Paulo (SP),Cientista de dados,Sênior,18000.0,de 7 a 10 anos,Branca
38,Masculino,Paraná (PR),Analista de Dados,Pleno,5000.0,Mais de 10 anos,Branca
23,Masculino,Rio Grande do Sul (RS),Analista de Dados,Pleno,7000.0,de 1 a 2 anos,Branca
27,Masculino,Pará (PA),Analista de Dados,Pleno,7000.0,de 1 a 2 anos,Branca
26,Masculino,São Paulo (SP),Cientista de dados,Sênior,22500.0,de 4 a 6 anos,Branca
30,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,10000.0,de 4 a 6 anos,Parda
26,Feminino,Paraná (PR),Analista de BI,Júnior,3500.0,de 1 a 2 anos,Branca
50,Feminino,São Paulo (SP),Cientista de dados,Pleno,10000.0,Mais de 10 anos,Parda
23,Feminino,Minas Gerais (MG),,,5000.0,de 3 a 4 anos,Branca
22,Masculino,São Paulo (SP),Analista de Dados,Pleno,7000.0,de 3 a 4 anos,Branca
39,Masculino,Goiás (GO),Analista de BI,Júnior,5000.0,de 1 a 2 anos,Parda
34,Feminino,Pernambuco (PE),Engenheiro de dados,Sênior,14000.0,de 7 a 10 anos,Branca
23,Masculino,,Cientista de dados,Júnior,5000.0,Menos de 1 ano,Branca
29,Masculino,Distrito Federal (DF),Analista de Dados,Sênior,10000.0,de 7 a 10 anos,Preta
25,Feminino,São Paulo (SP),Outra opção,Júnior,3500.0,Menos de 1 ano,Branca
26,Feminino,Paraná (PR),Engenheiro de dados,Pleno,7000.0,de 1 a 2 anos,Branca
27,Masculino,Pernambuco (PE),Engenheiro de dados,Sênior,22500.0,de 5 a 6 anos,Preta
27,Masculino,São Paulo (SP),Cientista de dados,Júnior,3500.0,Menos de 1 ano,Branca
24,Masculino,São Paulo (SP),Analista de BI,Júnior,2500.0,de 1 a 2 anos,Branca
22,Masculino,Minas Gerais (MG),Analista de Dados,Júnior,1500.0,Menos de 1 ano,Branca
29,Masculino,Espírito Santo (ES),Engenheiro de dados,Pleno,7000.0,de 1 a 2 anos,Preta
32,Masculino,Rio Grande do Sul (RS),Cientista de dados,Sênior,14000.0,de 3 a 4 anos,Branca
38,Feminino,Espírito Santo (ES),Outra opção,Sênior,7000.0,de 3 a 4 anos,Branca
62,Masculino,São Paulo (SP),,,,,Parda
27,Masculino,Paraná (PR),Cientista de dados,Júnior,2500.0,Menos de 1 ano,Branca
27,Masculino,São Paulo (SP),,,18000.0,de 4 a 6 anos,Branca
27,Feminino,Rio Grande do Sul (RS),Outra opção,Pleno,7000.0,de 1 a 2 anos,Branca
29,Masculino,Paraná (PR),Engenheiro de dados,Sênior,18000.0,de 5 a 6 anos,Branca
23,Feminino,Bahia (BA),,,,,Branca
23,Masculino,Rio Grande do Sul (RS),Analista de Dados,Pleno,3500.0,de 3 a 4 anos,Preta
26,Masculino,Mato Grosso (MT),Analista de BI,Pleno,5000.0,de 1 a 2 anos,Branca
33,Masculino,São Paulo (SP),Analista de Dados,Sênior,14000.0,de 7 a 10 anos,Amarela
24,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca
26,Feminino,Rio de Janeiro (RJ),Analista de BI,Sênior,10000.0,de 5 a 6 anos,Branca
28,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,14000.0,de 4 a 6 anos,Branca
37,Feminino,Rio Grande do Sul (RS),Engenheiro de dados,Júnior,5000.0,de 1 a 2 anos,Branca
33,Masculino,Paraná (PR),Analista de BI,Pleno,7000.0,de 4 a 6 anos,Branca
25,Masculino,Piauí (PI),,,,,Branca
30,Masculino,Rio Grande do Sul (RS),,,14000.0,de 7 a 10 anos,Branca
43,Masculino,Paraná (PR),Outra opção,Júnior,2500.0,de 7 a 10 anos,Parda
29,Feminino,São Paulo (SP),,,14000.0,de 4 a 6 anos,Branca
30,Feminino,São Paulo (SP),Cientista de dados,Sênior,14000.0,de 4 a 6 anos,Parda
